0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1.649647,-0.20145689,0.21716797,-0.37251085,0.35265246,0.8205765,1.0202957,1.0014609,-0.7376433,0.88298416,0.9354144,1.4142135,1.0418017,-0.9186696,-0.45762876,-1.025671,-0.1661186,-0.33002332,-0.4549886,-2.1572776,0.4927216,-0.6440581,-0.623375,-0.90735847,-0.85525393,-0.024494337,0.10729939,-1.1168963,-2.2822726,-0.8085106,-1.103304,-1.481665,-0.8980595,-1.0039479,-1.3482916,-0.9874939,-1.0932579,-1.761703
-0.09897882,0.49891,1.8348796e-16,-0.6637655,0.5027737,-1.2067301,-0.22644967,-0.42919755,-0.7376433,0.88298416,0.9354144,-0.70710677,1.0418017,-0.9186696,-0.45762876,-0.5904964,-0.1661067,-1.175205,-0.9742691,-2.1572776,-0.7390824,-8.583165e-18,-2.4319171e-17,1.8319237e-16,4.5466277e-17,-3.711978e-16,3.4668037e-16,-1.4089259e-16,-1.8913442e-16,-6.60847e-17,-1.741773e-16,1.6389006e-16,-1.0129959e-16,-4.1765534e-17,-1.8979527e-16,2.4477775e-16,7.348619e-17,-7.7107864e-17
1.3857034,0.6408763,0.43232417,-0.3026097,1.5661323,-2.2203834,0.04071005,-0.42919755,-0.7376433,-1.1325232,-1.069045,-0.70710677,0.5661966,-0.9186696,-0.45762876,-1.4608457,-0.16561644,-1.175205,-0.9742691,-2.1572776,0.4927216,-0.7979792,-0.60478354,-0.78792554,-0.7249896,-0.024494337,0.10729939,-1.0260775,-2.2822726,-0.8060817,-0.8509559,-0.2554595,-0.719517,-0.5390226,-0.09163147,-0.7605462,-0.7424324,-0.37854776
1.3197176,-0.25824338,0.027029932,0.9245433,-0.28397268,0.8205765,0.21881653,-0.42919755,1.3556688,0.88298416,0.9354144,-0.70710677,0.5661966,0.7444392,-0.45762876,-0.15532176,-0.08641311,0.51515836,0.064291865,0.5883484,0.4927216,-0.583417,-0.5527787,-0.54463625,-0.39302552,-0.024494337,0.10729939,-0.29127166,0.074421935,-0.7307867,-0.6962141,-0.2554595,-0.34011418,0.3675815,1.1650287,-0.7631252,-0.5935208,-0.37854776
-0.79183054,0.11086889,1.8348796e-16,-0.5006629,-0.09215113,-2.2203834,-1.6513015,-1.859856,-0.7376433,-1.1325232,0.9354144,-0.70710677,-1.336224,0.7444392,-0.45762876,8.429395e-17,-0.14065091,1.36034,-0.9742691,0.5883484,-0.7390824,0.52930623,1.1363727,3.3413572,2.7291176,-0.024494337,3.4668037e-16,-1.4089259e-16,-1.8913442e-16,3.1626942,3.7889173,0.97074604,-1.0129959e-16,-4.1765534e-17,-1.8979527e-16,2.4477775e-16,7.348619e-17,-7.7107864e-17
-0.85781646,0.12033331,-0.259845,-0.6482319,3.1007047,0.8205765,0.6640827,1.0014609,1.3556688,-1.1325232,-1.069045,1.4142135,0.5661966,0.7444392,-0.45762876,8.429395e-17,-0.16589902,-1.175205,-0.9742691,0.5883484,1.7245256,-0.65661854,-0.623375,-1.0400617,-1.0401454,-0.024494337,0.10729939,-0.89191353,0.074421935,-0.9542429,-1.103304,-1.481665,-0.8980595,-1.0039479,-1.3482916,-1.0210203,-0.7348606,-0.37854776
-0.3299294,-0.18252805,-0.7118398,-0.25989237,2.8657928,-1.2067301,0.396923,1.0014609,-0.7376433,0.88298416,-1.069045,-0.70710677,-1.336224,-0.9186696,-0.45762876,-0.6630255,-0.1652862,-0.33002332,-0.4549886,-0.78446454,-0.7390824,-0.67634326,-0.623375,-1.0024624,-0.82794046,-0.024494337,0.10729939,-0.7350449,0.074421935,-0.91295207,-1.103304,-1.481665,-0.83110607,-1.0039479,-1.3482916,-0.81728315,-1.0932579,-1.761703
0.9238023,-0.106812716,0.05038022,-0.53949684,-0.82607704,0.8205765,0.48597625,1.0014609,1.3556688,0.88298416,0.9354144,-0.70710677,0.5661966,0.7444392,-0.45762876,8.429395e-17,-0.09377714,-0.33002332,1.6221333,0.5883484,0.4927216,-0.53122586,-0.54842633,-0.8122544,-0.5905231,-0.024494337,0.10729939,-0.6277137,0.074421935,-0.70406914,-0.5129046,-0.2554595,-0.5632923,-0.46928385,-0.09163147,-0.5774407,-0.60614043,-0.37854776
-1.3857034,-0.23931456,1.6949074,-0.096789755,-0.41602376,-1.2067301,0.8421892,1.0014609,-0.7376433,0.88298416,0.9354144,-0.70710677,1.0418017,0.7444392,-0.45762876,0.13479467,-0.16577986,-0.33002332,0.064291865,0.5883484,-0.7390824,-0.14673537,-0.27360192,-0.09786864,-0.41823795,-0.024494337,2.6824846,-0.41098723,0.074421935,0.08045637,-0.1653307,-0.2554595,-0.47402105,-0.12058997,1.1650287,-0.31696665,0.20151547,1.0046076
-0.23095058,0.04461797,-0.78355855,-0.7841508,-0.9539581,0.8205765,-0.3155029,-0.42919755,-0.7376433,0.88298416,0.9354144,-0.70710677,-1.336224,-0.9186696,-0.45762876,8.429395e-17,-0.16444868,1.36034,0.5835723,0.5883484,-0.7390824,3.122795,4.1159086,1.4547594,1.4789997,-0.024494337,0.10729939,1.7521492,0.074421935,1.7855241,2.3724349,0.97074604,1.6461712,2.1342971,1.1650287,1.7410362,2.9197824,1.0046076
